"itemid";"clock";"num";"value_min";"value_avg";"value_max"
159138;1562731200;60;500600;3861413;16626784
159138;1562727600;28;1333512;3398768;10228568
159138;1562724000;60;715120;4958564;19231144
159138;1562720400;60;1087384;8659150;28127752
159138;1562716800;60;9921760;39088827;104226912
159138;1562713200;60;43731312;77522704;133019144
159138;1562709600;60;87219120;128865558;195125232
159138;1562706000;60;98284048;130790292;184332776
159138;1562702400;60;104846744;151067709;232304976
159138;1562698800;60;171702304;230268739;248038512
159138;1562695200;60;244357824;245142628;247768304
159138;1562691600;60;244799920;245220354;247951616
159138;1562688000;60;244132112;245103971;248125896
159138;1562684400;60;237116640;244895232;245900904
159138;1562680800;60;208726928;238611103;247939640
159138;1562677200;60;163861432;219400729;245260888
159138;1562673600;60;153808496;202994432;244471312
159138;1562670000;60;113851056;167164223;223329840
159138;1562666400;60;40174544;96528639;150408008
159138;1562662800;60;925904;15024348;44718784
159138;1562659200;59;308688;2004528;9221368
159138;1562655600;60;292976;1339219;5078232
159138;1562652000;60;288840;1330114;4370920
159138;1562648400;60;584488;3527815;9137432
159138;1562644800;60;450912;2083933;8055240
159138;1562641200;60;576464;1814756;6912048
159138;1562637600;60;1436920;5110817;11994288
159138;1562634000;60;2404384;8205670;25085768
159138;1562630400;60;15995960;54705407;110286264
159138;1562626800;60;49522896;78390774;125019808
159138;1562623200;60;66968224;109678013;157358240
159138;1562619600;60;87766696;134971707;198480288
159138;1562616000;60;115673968;155180812;233128656
159138;1562612400;60;153808216;215194476;244566680
159138;1562608800;60;200632600;238119108;247407240
159138;1562605200;60;200365904;241362576;247906888
159138;1562601600;60;187583688;240196359;248122536
159138;1562598000;60;170243408;220307815;245460232
159138;1562594400;60;172344360;219351592;245060256
159138;1562590800;60;186398488;228347036;245576744
159138;1562587200;60;98617312;182043821;241569280
159138;1562583600;60;76479280;146188095;232994744
159138;1562580000;60;26730008;67973989;131980632
159138;1562576400;60;974080;10192775;35132712
159138;1562572800;60;140368;1074376;12147320
159138;1562569200;60;164912;2172196;7297992
159138;1562565600;60;143872;1822620;4557512
159138;1562562000;60;197600;1207034;3227848
159138;1562558400;60;196688;3964460;16289480
159138;1562554800;60;710488;4112802;14269616
159138;1562551200;60;815208;6276487;30792616
159138;1562547600;60;1826128;3333609;12054696
159138;1562544000;60;1049056;3808044;27359528
159138;1562540400;60;1620176;5060367;16691040
159138;1562536800;60;331440;3194763;9391968
159138;1562533200;60;289160;1742849;4087800
159138;1562529600;60;778408;2184843;10672712
159138;1562526000;60;722072;3750149;33369520
159138;1562522400;60;1590216;3739751;7446272
159138;1562518800;60;1568400;4386271;9174592
159138;1562515200;60;609624;2759763;7054472
159138;1562511600;60;362256;6731588;21969272
159138;1562508000;60;1241296;5260062;17110944
159138;1562504400;60;708128;4977473;21689288
159138;1562500800;59;1490736;4713237;13895240
159138;1562497200;60;1683800;10771542;44563744
159138;1562493600;60;1175928;3971508;10328088
159138;1562490000;60;148528;1225316;14722064
159138;1562486400;60;149976;1577721;8240624
159138;1562482800;60;143696;1908404;7275600
159138;1562479200;60;475000;2502104;35621304
159138;1562475600;60;173512;2007191;7696096
159138;1562472000;60;188424;864218;4003152
159138;1562468400;60;227280;1793982;5846352
159138;1562464800;60;273888;1998794;10207952
159138;1562461200;60;270520;1402448;7732792
159138;1562457600;60;483560;4700181;11882984
159138;1562454000;60;2275832;5543326;10843728
159138;1562450400;60;543712;3599543;10339008
159138;1562446800;60;433384;2383163;6843384
159138;1562443200;60;449816;3312738;12594264
159138;1562439600;60;1867408;7563250;17094704
159138;1562436000;60;4044568;12051273;33204056
159138;1562432400;60;7867176;24670802;53716480
159138;1562428800;60;7097968;28463171;83491912
159138;1562425200;60;6234920;16125394;30075472
159138;1562421600;60;9091104;20817852;42915208
159138;1562418000;60;10642256;21384783;43602904
159138;1562414400;60;6237984;11953760;27640696
159138;1562410800;60;3386664;11248172;26935824
159138;1562407200;60;1131064;5868712;18689120
159138;1562403600;60;472040;3422157;16930984
159138;1562400000;60;227400;1134787;12217504
159138;1562396400;60;349760;2318643;11424208
159138;1562392800;60;790736;2409820;15212064
159138;1562389200;59;1433144;1996291;5401504
159138;1562385600;60;375160;2619735;12709184
159138;1562382000;60;606680;3156636;12735856
159138;1562378400;60;671488;8230570;36153088
159138;1562374800;60;739936;3825110;11978168
159138;1562371200;60;7255608;23028336;58864224
159138;1562367600;60;35485512;89091485;137500776
159138;1562364000;60;68826496;97311171;125280080
159138;1562360400;60;86010216;123987494;173076752
159138;1562356800;60;118712832;161431870;239607440
159138;1562353200;60;131846352;193236957;241454912
159138;1562349600;60;175654416;226704019;245407504
159138;1562346000;60;173640896;228570725;245836656
159138;1562342400;60;179235272;213809042;245063648
159138;1562338800;60;140276296;202425570;245724768
159138;1562335200;60;140057664;184638385;244778712
159138;1562331600;60;161213904;217107814;245752936
159138;1562328000;60;150487552;196425454;233990080
159138;1562324400;60;102102528;156281717;216711144
159138;1562320800;60;27298216;75547287;145503568
159138;1562317200;60;355992;13224332;49754952
159138;1562313600;60;359968;3820249;15434496
159138;1562310000;60;231952;1237129;4864632
159138;1562306400;60;293224;4483139;33049064
159138;1562302800;60;1101000;5787320;19850544
159138;1562299200;60;401816;4520847;18314800
159138;1562295600;60;1693432;6212383;20611920
159138;1562292000;60;1221064;4658696;18032832
159138;1562288400;60;2999960;7852753;29761392
159138;1562284800;60;9612440;37127399;76504984
159138;1562281200;60;48394040;88033393;142722936
159138;1562277600;60;72872056;101548713;155637904
159138;1562274000;60;62709912;104381758;241952552
159138;1562270400;60;99875648;142423844;237529208
159138;1562266800;60;127200096;210214119;245882728
159138;1562263200;60;191056376;233601440;245944072
159138;1562259600;60;204656832;239782183;247817352
159138;1562256000;60;233609960;243935948;247879064
159138;1562252400;60;180436272;235275013;246176064
159138;1562248800;60;157871032;194382547;245233392
159138;1562245200;60;174835432;199645824;244381520
159138;1562241600;60;170408216;219337072;244973392
159138;1562238000;60;101154744;173908657;237162976
159138;1562234400;60;39459168;88606916;146669120
159138;1562230800;60;3153360;18006802;48350616
159138;1562227200;60;2800728;3989988;23509600
159138;1562223600;60;2736176;5079667;15888336
159138;1562220000;60;2940064;5004379;22210216
159138;1562216400;60;2803224;4619797;17663888
159138;1562212800;60;2971848;7160781;19285800
159138;1562209200;60;3366336;6282221;19165432
159138;1562205600;60;2576288;4768478;15738208
159138;1562202000;59;2348528;5233571;11919320
159138;1562198400;60;6084288;53024496;88119536
159138;1562194800;60;56868784;80693170;155896880
159138;1562191200;60;69151424;105738283;176594608
159138;1562187600;60;72813152;105517734;146584432
159138;1562184000;60;90833328;131066443;191248096
159138;1562180400;60;150897648;213125148;245665472
159138;1562176800;60;174067904;218503346;247645768
159138;1562173200;60;209857488;241502543;246011728
159138;1562169600;60;190904032;237015665;247938960
159138;1562166000;60;188932272;225424376;248253984
159138;1562162400;60;186781376;231147166;247843920
159138;1562158800;60;183733808;237349424;247926832
159138;1562155200;60;141650216;222712187;245445624
159138;1562151600;60;97711992;156300706;244511216
159138;1562148000;60;32942888;76735404;114678240
159138;1562144400;60;2150704;20323612;71581696
159138;1562140800;60;1921600;3433563;11060184
159138;1562137200;60;2121376;3506739;7566224
159138;1562133600;60;2826080;3875980;14746264
159138;1562130000;60;2264224;5700566;31230704
159138;1562126400;60;2255128;4244646;8826608
159138;1562122800;43;938000;4021633;15771352
159138;1562119200;60;1329568;6492532;12973720
159138;1562115600;60;5517544;10515870;23513080
159138;1562112000;60;9867344;30986771;61170008
159138;1562108400;60;47442104;103690797;170974216
159138;1562104800;60;77190944;112736728;185659040
159138;1562101200;60;83025616;146193034;230037992
159138;1562097600;60;111712488;162380284;216945936
159138;1562094000;60;171164536;235805958;247874168
159138;1562090400;60;244753024;245059430;247942824
159138;1562086800;60;244070936;245006900;248083056
159138;1562083200;60;231948392;244156382;248157576
159138;1562079600;60;237817648;244649408;245564600
159138;1562076000;60;208445872;239875449;245897936
159138;1562072400;60;185668608;236565330;245639104
159138;1562068800;60;169322992;225339003;244990240
159138;1562065200;60;97792992;173855402;233636984
159138;1562061600;60;37385576;75651954;125273184
159138;1562058000;60;2444120;13246463;50565584
159138;1562054400;60;2398408;4670965;13404736
159138;1562050800;60;1123480;3496111;16894080
159138;1562047200;60;1597336;5572654;15937928
159138;1562043600;60;2092800;4387871;15786624
159138;1562040000;60;2460536;5558827;18638016
159138;1562036400;60;2498448;5028646;37688984
159138;1562032800;60;2665128;5271597;15676528
159138;1562029200;60;3288440;8369441;30332040
159138;1562025600;60;13211416;47817953;109702064
159138;1562022000;59;72379328;111107530;185309736
159138;1562018400;60;90624424;123040946;198263040
159138;1562014800;60;95105408;124603164;174559384
159138;1562011200;60;120961000;167116391;231234464
159138;1562007600;60;143552336;208030897;245577072
